director_actor,info,introduce,name,pic_link,rank,rating_num,rating_score
导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,2002 / 英国 法国 波兰 德国 / 剧情 传记 战争 音乐,音乐能化解仇恨。,钢琴家,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,46,553694人评价,9.3
导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,2003 / 美国 / 动作 科幻,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,黑客帝国3：矩阵革命,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,157,412109人评价,8.8
导演: 达米恩·查泽雷 Damien Chazelle   主演: 瑞恩·高斯林 Ryan Gosling /...,2016 / 美国 / 剧情 爱情 歌舞,,爱乐之城,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2395517414.jpg,232,796201人评价,8.4
导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...,2004 / 法国 瑞士 德国 / 剧情 喜剧 音乐,天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,16,1200944人评价,9.3
导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生,2002 / 中国香港 / 剧情 犯罪 惊悚,香港电影史上永不过时的杰作。,无间道,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,17,1221068人评价,9.3
导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,2004 / 美国 德国 / 动作 悬疑 惊悚,谁说王家卫镜头很晃？,谍影重重2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,233,324359人评价,8.7
导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...,1991 / 美国 / 剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。,沉默的羔羊,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,77,802566人评价,8.9
导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...,2009 / 美国 / 纪录片,海豚的微笑，是世界上最高明的伪装。,海豚湾,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,78,337194人评价,9.3
导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...,2005 / 法国 德国 美国 / 剧情 犯罪,做一颗让别人需要你的棋子。,战争之王,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg,231,332961人评价,8.7
导演: 爱德华·兹威克 Edward Zwick   主演: 布拉德·皮特 Brad Pitt / 安东...,1994 / 美国 / 剧情 爱情 战争 西部,传奇，不是每个人都可以拥有。,燃情岁月,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2797313535.jpg,234,265573人评价,8.8
导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010 / 美国 / 剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。,禁闭岛,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,80,883258人评价,8.8
导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...,2009 / 法国 瑞士 西班牙 美国 阿联酋 摩纳哥 / 纪录片,大海啊，不全是水。,海洋,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg,236,149570人评价,9.1
导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011 / 美国 英国 / 奇幻 冒险,10年的完美句点。,哈利·波特与死亡圣器(下),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,76,744813人评价,8.9
导演: 史蒂芬·戴德利 Stephen Daldry   主演: 凯特·温丝莱特 Kate Winslet ...,2008 / 美国 德国 / 剧情 爱情,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,朗读者,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,242,427549人评价,8.6
导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,1954 / 日本 / 动作 冒险 剧情,时代悲歌。,七武士,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg,155,178142人评价,9.3
导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990 / 中国香港 / 犯罪 剧情 爱情,王家卫是一种风格，张国荣是一个代表。,阿飞正传,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg,235,462834人评价,8.5
导演: 莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...,2014 / 英国 美国 / 剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,模仿游戏,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,153,584605人评价,8.7
